A.  .closed_3_body.Last_Run.TIME (sec)
B.  .closed_3_body.Last_Run.joint1_MEA_1.Q (deg/sec**2)
C.  .closed_3_body.Last_Run.joint2_MEA_1.Q (deg/sec**2)
D.  .closed_3_body.Last_Run.joint3_MEA_1.Q (deg/sec**2)

       A               B               C               D         
 8.900000E-01    0.000000E+00    0.000000E+00   -2.807631E+03   
 8.950000E-01    0.000000E+00    0.000000E+00   -2.809092E+03   
 9.000000E-01    0.000000E+00    0.000000E+00   -2.808565E+03   
 9.050000E-01    0.000000E+00    0.000000E+00   -2.806046E+03   
 9.100000E-01    0.000000E+00    0.000000E+00   -2.801520E+03   
 9.150000E-01    0.000000E+00    0.000000E+00   -2.794962E+03   
 9.200000E-01    0.000000E+00    0.000000E+00   -2.786337E+03   
 9.250000E-01    0.000000E+00    0.000000E+00   -2.775598E+03   
 9.300000E-01    0.000000E+00    0.000000E+00   -2.762687E+03   
 9.350000E-01    0.000000E+00    0.000000E+00   -2.747539E+03   
 9.400000E-01    0.000000E+00    0.000000E+00   -2.730078E+03   
 9.450000E-01    0.000000E+00    0.000000E+00   -2.710220E+03   
 9.500000E-01    0.000000E+00    0.000000E+00   -2.687875E+03   
 9.550000E-01    0.000000E+00    0.000000E+00   -2.662945E+03   
 9.600000E-01    0.000000E+00    0.000000E+00   -2.635328E+03   
 9.650000E-01    0.000000E+00    0.000000E+00   -2.604916E+03   
 9.700000E-01    0.000000E+00    0.000000E+00   -2.571601E+03   
 9.750000E-01    0.000000E+00    0.000000E+00   -2.535270E+03   
 9.800000E-01    0.000000E+00    0.000000E+00   -2.495812E+03   
 9.850000E-01    0.000000E+00    0.000000E+00   -2.453118E+03   
 9.900000E-01    0.000000E+00    0.000000E+00   -2.407083E+03   
 9.950000E-01    0.000000E+00    0.000000E+00   -2.357603E+03   
 1.000000E+00    0.000000E+00    0.000000E+00   -2.304586E+03   
 1.005000E+00    0.000000E+00    0.000000E+00   -2.247945E+03   
 1.010000E+00    0.000000E+00    0.000000E+00   -2.187606E+03   
 1.015000E+00    0.000000E+00    0.000000E+00   -2.123505E+03   
 1.020000E+00    0.000000E+00    0.000000E+00   -2.055596E+03   
 1.025000E+00    0.000000E+00    0.000000E+00   -1.983846E+03   
 1.030000E+00    0.000000E+00    0.000000E+00   -1.908240E+03   
 1.035000E+00    0.000000E+00    0.000000E+00   -1.828785E+03   
 1.040000E+00   -1.514453E-10    0.000000E+00   -1.745507E+03   
 1.045000E+00    1.467635E-10    0.000000E+00   -1.658454E+03   
 1.050000E+00    0.000000E+00    0.000000E+00   -1.567698E+03   
 1.055000E+00    0.000000E+00    0.000000E+00   -1.473335E+03   
 1.060000E+00    0.000000E+00    0.000000E+00   -1.375485E+03   
 1.065000E+00   -2.046140E-09    1.490840E-09   -1.274295E+03   
 1.070000E+00    1.434456E-09   -1.157009E-09   -1.169935E+03   
 1.075000E+00    9.931473E-10   -6.582985E-10   -1.062598E+03   
 1.080000E+00   -1.608292E-09    9.510113E-10   -9.525045E+02   
 1.085000E+00    9.588482E-10   -8.771206E-10   -8.398940E+02   
 1.090000E+00   -1.865586E-10    1.139911E-10   -7.250287E+02   
 1.095000E+00    1.690528E-10   -1.048311E-10   -6.081899E+02   
 1.100000E+00    3.182590E-10    0.000000E+00   -4.896762E+02   
 1.105000E+00    0.000000E+00   -3.314392E-10   -3.698009E+02   
 1.110000E+00    4.320465E-10    3.472148E-10   -2.488894E+02   
 1.115000E+00    9.752344E-10   -1.167620E-09   -1.272767E+02   
 1.120000E+00   -1.108134E-09    1.487210E-09   -5.304277E+00   
 1.125000E+00   -2.567344E-10    1.372498E-09    1.166833E+02   
 1.130000E+00    0.000000E+00   -2.787285E-09    2.383413E+02   
 1.135000E+00    1.610633E-10    2.122321E-09    3.593279E+02   
 1.140000E+00   -2.526124E-10   -8.794615E-10    4.793074E+02   
 1.145000E+00    1.707831E-09   -1.099505E-09    5.979533E+02   
 1.150000E+00   -2.385263E-09    2.298447E-09    7.149512E+02   
