time,beta_dot1_x,beta_dot1_y,beta_dot1_z,beta_dot2_x,beta_dot2_y,beta_dot2_z,beta_dot3_x,beta_dot3_y,beta_dot3_z
0.705,0,0.0127602,0,0,-0.0255303,0,0,13.8181,0
0.71,0,0.0120996,0,0,-0.0242207,0,0,15.8033,0
0.715,0,0.011366,0,0,-0.0227675,0,0,17.7464,0
0.72,0,0.0105676,0,0,-0.0211865,0,0,19.6429,0
0.725,0,0.00971302,0,0,-0.0194947,0,0,21.4889,0
0.73,0,0.00881111,0,0,-0.0177096,0,0,23.2807,0
0.735,0,0.00787097,0,0,-0.015849,0,0,25.0153,0
0.74,0,0.00690167,0,0,-0.0139307,0,0,26.6898,0
0.745,0,0.00591215,0,0,-0.0119721,0,0,28.302,0
0.75,0,0.00491104,0,0,-0.00999013,0,0,29.85,0
0.755,0,0.0039066,0,0,-0.008001,0,0,31.3325,0
0.76,0,0.00290659,0,0,-0.00601989,0,0,32.7483,0
0.765,0,0.00191819,0,0,-0.00406086,0,0,34.0969,0
0.77,0,0.000947944,0,0,-0.00213674,0,0,35.3781,0
0.775,0,1.70585e-06,0,0,-0.000258992,0,0,36.5919,0
0.78,0,-0.000915379,0,0,0.00156228,0,0,37.7388,0
0.785,0,-0.00179889,0,0,0.00331839,0,0,38.8196,0
0.79,0,-0.00264512,0,0,0.00500205,0,0,39.8352,0
0.795,0,-0.00345106,0,0,0.00660735,0,0,40.7869,0
0.8,0,-0.00421438,0,0,0.00812966,0,0,41.6761,0
0.805,0,-0.00493337,0,0,0.00956558,0,0,42.5044,0
0.81,0,-0.0056069,0,0,0.0109129,0,0,43.2735,0
0.815,0,-0.00623436,0,0,0.0121702,0,0,43.9854,0
0.82,0,-0.00681561,0,0,0.0133373,0,0,44.6418,0
0.825,0,-0.00735091,0,0,0.0144147,0,0,45.2447,0
0.83,0,-0.00784086,0,0,0.0154033,0,0,45.7961,0
0.835,0,-0.00828634,0,0,0.0163049,0,0,46.2979,0
0.84,0,-0.00868844,0,0,0.0171215,0,0,46.7521,0
0.845,0,-0.00904842,0,0,0.0178556,0,0,47.1604,0
0.85,0,-0.00936762,0,0,0.0185096,0,0,47.5246,0
0.855,0,-0.00964745,0,0,0.0190862,0,0,47.8463,0
0.86,0,-0.00988931,0,0,0.0195882,0,0,48.1271,0
0.865,0,-0.0100946,0,0,0.020018,0,0,48.3684,0
0.87,0,-0.0102645,0,0,0.0203782,0,0,48.5714,0
0.875,0,-0.0104002,0,0,0.0206709,0,0,48.7371,0
0.88,0,-0.0105028,0,0,0.020898,0,0,48.8665,0
0.885,0,-0.0105731,0,0,0.0210612,0,0,48.9602,0
0.89,0,-0.0106118,0,0,0.0211615,0,0,49.0188,0
0.895,0,-0.0106194,0,0,0.0212,0,0,49.0426,0
0.9,0,-0.0105961,0,0,0.0211769,0,0,49.0317,0
0.905,0,-0.0105419,0,0,0.0210923,0,0,48.9862,0
0.91,0,-0.0104568,0,0,0.0209457,0,0,48.9057,0
0.915,0,-0.0103404,0,0,0.0207364,0,0,48.7897,0
0.92,0,-0.0101921,0,0,0.0204632,0,0,48.6377,0
0.925,0,-0.0100112,0,0,0.0201244,0,0,48.4488,0
0.93,0,-0.00979688,0,0,0.0197181,0,0,48.222,0
0.935,0,-0.00954802,0,0,0.0192424,0,0,47.9561,0
0.94,0,-0.00926356,0,0,0.0186947,0,0,47.6498,0
0.945,0,-0.0089423,0,0,0.0180726,0,0,47.3017,0
0.95,0,-0.00858304,0,0,0.0173736,0,0,46.9101,0
0.955,0,-0.00818457,0,0,0.0165952,0,0,46.4733,0
0.96,0,-0.00774577,0,0,0.0157349,0,0,45.9896,0
0.965,0,-0.00726561,0,0,0.0147906,0,0,45.457,0
0.97,0,-0.00674323,0,0,0.0137606,0,0,44.8736,0
0.975,0,-0.00617801,0,0,0.0126433,0,0,44.2374,0
0.98,0,-0.0055696,0,0,0.011438,0,0,43.5466,0
0.985,0,-0.00491801,0,0,0.0101446,0,0,42.7991,0
0.99,0,-0.00422363,0,0,0.00876381,0,0,41.9932,0
0.995,0,-0.00348731,0,0,0.00729722,0,0,41.127,0
1,0,-0.00271045,0,0,0.00574749,0,0,40.1989,0
1.005,0,-0.00189496,0,0,0.00411845,0,0,39.2074,0
1.01,0,-0.0010434,0,0,0.0024151,0,0,38.1511,0
1.015,0,-0.000158943,0,0,0.00064378,0,0,37.0291,0
1.02,0,0.000754571,0,0,-0.00118784,0,0,35.8404,0
1.025,0,0.00169262,0,0,-0.00307071,0,0,34.5845,0
1.03,0,0.00265002,0,0,-0.0049944,0,0,33.2611,0
1.035,0,0.0036209,0,0,-0.00694714,0,0,31.8704,0
1.04,0,0.00459881,0,0,-0.00891589,0,0,30.4128,0
1.045,0,0.00557669,0,0,-0.0108864,0,0,28.8892,0
1.05,0,0.00654698,0,0,-0.0128434,0,0,27.3009,0
1.055,0,0.00750171,0,0,-0.0147707,0,0,25.6495,0
1.06,0,0.00843255,0,0,-0.0166515,0,0,23.9371,0
1.065,0,0.009331,0,0,-0.0184685,0,0,22.1664,0
1.07,0,0.0101885,0,0,-0.0202041,0,0,20.3403,0
1.075,0,0.0109964,0,0,-0.021841,0,0,18.4623,0
1.08,0,0.0117464,0,0,-0.0233621,0,0,16.5362,0
1.085,0,0.0124305,0,0,-0.0247511,0,0,14.5662,0
1.09,0,0.0130413,0,0,-0.0259927,0,0,12.557,0
1.095,0,0.0135718,0,0,-0.0270729,0,0,10.5134,0
1.1,0,0.0140161,0,0,-0.027979,0,0,8.44075,0
1.105,0,0.0143689,0,0,-0.0287006,0,0,6.34454,0
1.11,0,0.014626,0,0,-0.029229,0,0,4.23046,0
1.115,0,0.0147845,0,0,-0.0295579,0,0,2.10441,0
1.12,0,0.0148425,0,0,-0.0296832,0,0,-0.0276369,0
1.125,0,0.0147992,0,0,-0.0296034,0,0,-2.15963,0
1.13,0,0.0146553,0,0,-0.0293195,0,0,-4.28553,0
1.135,0,0.0144124,0,0,-0.028835,0,0,-6.39936,0
1.14,0,0.0140735,0,0,-0.0281556,0,0,-8.49522,0
1.145,0,0.0136426,0,0,-0.0272894,0,0,-10.5674,0
1.15,0,0.0131248,0,0,-0.0262467,0,0,-12.6104,0
1.155,0,0.012526,0,0,-0.0250395,0,0,-14.6191,0
1.16,0,0.0118529,0,0,-0.0236815,0,0,-16.5883,0
1.165,0,0.011113,0,0,-0.0221879,0,0,-18.5137,0
1.17,0,0.0103143,0,0,-0.0205746,0,0,-20.3908,0
1.175,0,0.00946492,0,0,-0.0188587,0,0,-22.2159,0
1.18,0,0.00857347,0,0,-0.0170575,0,0,-23.9856,0
1.185,0,0.00764852,0,0,-0.0151884,0,0,-25.6969,0
1.19,0,0.00669856,0,0,-0.0132689,0,0,-27.3471,0
1.195,0,0.00573193,0,0,-0.011316,0,0,-28.9343,0
1.2,0,0.00475663,0,0,-0.00934593,0,0,-30.4567,0
1.205,0,0.00378025,0,0,-0.00737429,0,0,-31.913,0
1.21,0,0.0028099,0,0,-0.00541557,0,0,-33.3024,0
1.215,0,0.00185212,0,0,-0.00348312,0,0,-34.6245,0
1.22,0,0.000912806,0,0,-0.00158902,0,0,-35.879,0
1.225,0,-2.75345e-06,0,0,0.000255972,0,0,-37.0664,0
1.23,0,-0.000889963,0,0,0.00204248,0,0,-38.1871,0
1.235,0,-0.00174489,0,0,0.00376249,0,0,-39.242,0
1.24,0,-0.00256428,0,0,0.00540936,0,0,-40.2321,0
1.245,0,-0.00334549,0,0,0.00697776,0,0,-41.1589,0
1.25,0,-0.00408651,0,0,0.00846359,0,0,-42.0237,0
1.255,0,-0.00478588,0,0,0.00986392,0,0,-42.8284,0
1.26,0,-0.00544266,0,0,0.0111769,0,0,-43.5745,0
1.265,0,-0.0060564,0,0,0.0124016,0,0,-44.2641,0
1.27,0,-0.00662701,0,0,0.013538,0,0,-44.899,0
1.275,0,-0.00715481,0,0,0.0145867,0,0,-45.4811,0
1.28,0,-0.00764037,0,0,0.015549,0,0,-46.0125,0
1.285,0,-0.00808451,0,0,0.0164266,0,0,-46.4951,0
1.29,0,-0.00848823,0,0,0.0172216,0,0,-46.9307,0
1.295,0,-0.00885265,0,0,0.0179364,0,0,-47.3212,0
1.3,0,-0.00917896,0,0,0.0185735,0,0,-47.6682,0
1.305,0,-0.00946839,0,0,0.0191354,0,0,-47.9733,0
1.31,0,-0.00972213,0,0,0.0196248,0,0,-48.2381,0
1.315,0,-0.00994132,0,0,0.0200439,0,0,-48.4639,0
1.32,0,-0.010127,0,0,0.020395,0,0,-48.6517,0
1.325,0,-0.0102801,0,0,0.0206801,0,0,-48.8026,0
1.33,0,-0.0104015,0,0,0.0209009,0,0,-48.9175,0
1.335,0,-0.0104916,0,0,0.0210587,0,0,-48.997,0
1.34,0,-0.010551,0,0,0.0211545,0,0,-49.0414,0
1.345,0,-0.0105798,0,0,0.0211888,0,0,-49.0512,0
1.35,0,-0.0105781,0,0,0.0211617,0,0,-49.0262,0
1.355,0,-0.0105456,0,0,0.021073,0,0,-48.9665,0
1.36,0,-0.010482,0,0,0.020922,0,0,-48.8716,0
1.365,0,-0.0103866,0,0,0.0207076,0,0,-48.7409,0
1.37,0,-0.0102587,0,0,0.0204283,0,0,-48.5739,0
1.375,0,-0.0100973,0,0,0.0200824,0,0,-48.3696,0
